seed,value_selector,defense_method,detector_metadata_path,selector,sanitizer,status
42,corr_count_abs_shap,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,CorrCountAbsSHAP,Isolation Forest,complete
42,corr_count_abs_shap,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,CorrCountAbsSHAP,Spectral Signature,complete
42,corr_count_abs_shap,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,CorrCountAbsSHAP,HDBSCAN,complete
42,benign_prototype,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,BenignPrototype,Isolation Forest,complete
42,benign_prototype,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,BenignPrototype,Spectral Signature,complete
42,benign_prototype,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,BenignPrototype,HDBSCAN,complete
42,quantile_95,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,Quantile95,Isolation Forest,complete
42,quantile_95,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,Quantile95,Spectral Signature,complete
42,quantile_95,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,Quantile95,HDBSCAN,complete
43,min_population_new,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__min_population_new__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,MinPopulation*,Isolation Forest,complete
43,min_population_new,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__min_population_new__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,MinPopulation*,Spectral Signature,complete
43,min_population_new,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__min_population_new__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,MinPopulation*,HDBSCAN,complete
43,argmin_Nv_sum_abs_shap,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,CountAbsSHAP*,Isolation Forest,complete
43,argmin_Nv_sum_abs_shap,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,CountAbsSHAP*,Spectral Signature,complete
43,argmin_Nv_sum_abs_shap,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,CountAbsSHAP*,HDBSCAN,complete
43,combined_shap,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,CombinedSHAP*,Isolation Forest,complete
43,combined_shap,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,CombinedSHAP*,Spectral Signature,complete
43,combined_shap,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,CombinedSHAP*,HDBSCAN,complete
43,low_shap_signed,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__low_shap_signed__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,LowSHAPSigned,Isolation Forest,complete
43,low_shap_signed,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__low_shap_signed__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,LowSHAPSigned,Spectral Signature,complete
43,low_shap_signed,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__low_shap_signed__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,LowSHAPSigned,HDBSCAN,complete
43,frequency_bounded_signed_shap,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__frequency_bounded_signed_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,FrequencyBoundedSignedSHAP,Isolation Forest,complete
43,frequency_bounded_signed_shap,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__frequency_bounded_signed_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,FrequencyBoundedSignedSHAP,Spectral Signature,complete
43,frequency_bounded_signed_shap,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__frequency_bounded_signed_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,FrequencyBoundedSignedSHAP,HDBSCAN,complete
43,corr_count_abs_shap,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,CorrCountAbsSHAP,Isolation Forest,complete
43,corr_count_abs_shap,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,CorrCountAbsSHAP,Spectral Signature,complete
43,corr_count_abs_shap,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,CorrCountAbsSHAP,HDBSCAN,complete
43,benign_prototype,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,BenignPrototype,Isolation Forest,complete
43,benign_prototype,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,BenignPrototype,Spectral Signature,complete
43,benign_prototype,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,BenignPrototype,HDBSCAN,complete
43,quantile_95,isolation_forest,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,Quantile95,Isolation Forest,complete
43,quantile_95,spectral_signature,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,Quantile95,Spectral Signature,complete
43,quantile_95,hdbscan,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,Quantile95,HDBSCAN,complete
